symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
CENTRALBK,2026-07-13,32.6,32.72,9530629,4571239,47.96,3109.65,17734
CARBORUNIV,2026-07-13,1091.2,1073.0,262582,125727,47.88,2821.39,30864
METROBRAND,2026-07-13,1059.6,1072.6,18335,8764,47.8,196.22,5805
KARURVYSYA,2026-07-13,305.65,308.4,2533423,1209886,47.76,7831.28,48016
PETRONET,2026-07-13,278.95,278.95,1054027,502422,47.67,2932.11,18233
PATANJALI,2026-07-13,413.8,408.85,2030352,967025,47.63,8306.92,16960
EIHOTEL,2026-07-13,329.75,337.05,239951,113829,47.44,804.47,10679
KPIL,2026-07-13,1352.0,1341.7,134485,63792,47.43,1794.33,14137
HDFCAMC,2026-07-13,2761.2,2749.0,914005,431443,47.2,24854.4,53909
COCHINSHIP,2026-07-13,1418.0,1411.8,854769,403362,47.19,12074.83,25788
IKS,2026-07-13,1928.1,1903.4,134917,63640,47.17,2577.5,17952
M&M,2026-07-13,3129.4,3160.4,1770170,830847,46.94,55601.24,102901
HINDZINC,2026-07-13,536.95,532.6,1839570,863265,46.93,9778.07,29723
AUBANK,2026-07-13,1072.1,1060.5,779934,365398,46.85,8258.89,36215
MSUMI,2026-07-13,40.14,40.54,8580443,4007144,46.7,3451.49,33192
ANANDRATHI,2026-07-13,2146.8,2117.7,384240,179181,46.63,8145.26,27247
CHOLAFIN,2026-07-13,1807.8,1810.9,635788,296130,46.58,11492.91,33231
AIIL,2026-07-13,514.0,520.0,106355,49428,46.47,548.83,6139
JINDALSTEL,2026-07-13,1051.3,1028.8,1907483,886379,46.47,19641.93,42108
PPLPHARMA,2026-07-13,177.16,173.63,3905315,1813868,46.45,6799.97,42175
MAHABANK,2026-07-13,84.25,82.56,29829138,13848134,46.42,24676.97,98474
URBANCO,2026-07-13,132.75,133.07,1582011,733506,46.37,2103.5,19250
BHARATFORG,2026-07-13,2117.0,2145.6,628327,291190,46.34,13408.11,34673
NATIONALUM,2026-07-13,354.85,355.2,5088219,2343431,46.06,18013.29,74920
MANAPPURAM,2026-07-13,341.3,331.75,2481606,1140214,45.95,8282.66,30602
HEXT,2026-07-13,550.25,566.2,888478,407584,45.87,5045.99,31340
BOSCHLTD,2026-07-13,41815.0,41695.0,18121,8305,45.83,7564.14,7325
JUBLFOOD,2026-07-13,438.05,431.4,1799503,823578,45.77,7789.15,35252
KEI,2026-07-13,5149.5,5112.0,323058,147829,45.76,16660.23,35164
MOTILALOFS,2026-07-13,979.35,982.85,835312,382208,45.76,8150.79,34166
M&MFIN,2026-07-13,340.85,332.7,2182526,998297,45.74,7267.17,44236
ADANIENT,2026-07-13,3157.3,3177.5,1599810,730583,45.67,50762.23,62291
HAL,2026-07-13,4506.8,4511.3,569353,259986,45.66,25560.94,47223
ICICIGI,2026-07-13,1826.2,1787.3,1585337,723590,45.64,28118.3,56623
POONAWALLA,2026-07-13,477.0,485.1,910643,413461,45.4,4375.57,17166
ACC,2026-07-13,1384.5,1378.8,70486,31957,45.34,969.74,6389
PREMIERENE,2026-07-13,1117.2,1109.5,1108267,502219,45.32,12285.64,56137
CANBK,2026-07-13,128.78,129.33,19227723,8664991,45.07,24677.81,85087
UNOMINDA,2026-07-13,1166.1,1152.3,526048,236943,45.04,6093.02,33287
LTTS,2026-07-13,3278.2,3297.7,211418,95013,44.94,6971.82,33539
