symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
MANAKCOAT,138.89,118.0,112.02,,,,False,486845.05,0.107,3.836,,2839
MANAKSIA,73.4,56.0,54.73,,,,False,112285.9,0.248,4.356,,4615
MANAKSTEEL,120.76,86.01,65.11,,,,False,187305.25,0.016,5.915,,2839
MANALIPETC,93.0,70.47,61.0,,,,False,10777681.7,0.089,5.024,,6022
MANAPPURAM,369.9,310.0,310.0,,,,False,3873383.85,0.348,6.793,,4012
MANAV,40.75,29.8,22.35,,,,True,3000.0,0.0,21.145,,2224
MANBA,151.0,125.55,125.55,,,,True,131288.15,4.132,4.649,,493
MANCREDIT,261.5,210.99,209.49,,,,False,123430.25,0.321,6.984,,525
MANDEEP,18.2,16.15,16.15,,,,False,13700.0,1.752,13.349,,585
MANGALAM,38.25,28.51,25.7,,,,False,78033.2,0.187,4.201,,5270
MANGLMCEM,1120.0,972.0,861.3,,,,False,112272.95,0.296,4.293,,6016
MANIKA,,,,,,,,,,,,3
MANINDS,944.0,705.85,507.55,,,,False,1537858.75,1.282,4.321,,5247
MANINFRA,131.0,113.22,95.52,,,,False,2724104.25,0.087,4.669,,4086
MANIPALHOS,815.0,690.4,625.45,,,,False,1340311.35,0.147,6.244,,36
MANKIND,2493.0,2222.0,2222.0,,,,False,362486.65,0.303,5.161,,839
MANOMAY,240.51,216.9,170.6,240.51,216.9,20.0,False,182355.75,0.216,2.638,-5.476,909
MANORAMA,2149.5,1795.1,1562.1,,,,False,233388.2,0.206,5.351,,1049
MANORG,535.0,440.0,429.1,,,,False,11731.4,0.035,4.455,,1212
MANUGRAPH,24.26,13.82,12.84,,,,True,139900.5,8.632,6.668,,4941
MANYAVAR,604.0,526.0,391.25,,,,False,391921.3,0.081,3.812,,1140
MAPMYINDIA,1033.0,865.6,865.6,,,,False,221338.0,0.148,6.481,,1180
MARALOVER,68.89,52.4,51.1,,,,False,41677.95,0.05,3.617,,6016
MARATHON,467.4,397.25,344.05,,,,False,230044.35,0.018,4.169,,2470
MARC,159.45,135.0,87.4,,,,False,12840.0,0.187,4.391,,180
MARCO,36.95,27.5,27.5,,,,False,11925.0,2.013,4.918,,735
MARICO,840.7,791.25,791.25,,,,False,1849930.8,0.126,3.189,,7630
MARINE,450.0,352.65,241.0,,,,False,1651313.25,7.695,3.851,,1958
MARINETRAN,18.15,13.85,13.5,,,,False,2600.0,1.538,26.756,,684
MARKOLINES,180.8,159.53,159.53,,,,False,248188.8,0.201,3.671,,235
MARKSANS,349.95,301.1,239.65,,,,False,2118898.3,0.313,3.842,,6005
MARSONS,144.28,119.71,100.25,,,,False,3566643.55,0.051,3.006,,135
MARUTI,13580.0,12103.0,12103.0,,,,False,379399.5,0.219,7.85,,5755
MASFIN,310.2,281.0,281.0,,,,False,306224.8,0.081,3.757,,2210
