symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
BANKINDIA,Finance,NIFTY_FIN_SERVICE,6.969026548672579,-1.1920980926430518,0.68,0.57,6.04,6.29,-1.76,-7.23
GICRE,Finance,NIFTY_FIN_SERVICE,2.3314253804272016,-1.2661637931034453,0.68,0.57,6.04,1.65,-1.84,-7.31
GODREJPROP,Finance,NIFTY_FIN_SERVICE,6.663316582914568,19.24719101123595,0.68,0.57,6.04,5.98,18.68,13.21
HDBFS,Finance,NIFTY_FIN_SERVICE,7.551867219917015,11.483870967741938,0.68,0.57,6.04,6.87,10.91,5.44
MAHABANK,Finance,NIFTY_FIN_SERVICE,-1.0493827160493756,-10.845383759733036,0.68,0.57,6.04,-1.73,-11.42,-16.89
COROMANDEL,Process Industries,NIFTY_METAL,3.15391503333001,3.939849624060146,0.68,0.57,-1.16,2.47,3.37,5.1
SBICARD,Finance,NIFTY_FIN_SERVICE,9.088581669226832,6.206380857427721,0.68,0.57,6.04,8.41,5.64,0.17
LINDEINDIA,Process Industries,NIFTY_METAL,1.1900494659115348,1.5467625899280577,0.68,0.57,-1.16,0.51,0.98,2.71
JSL,Non-Energy Minerals,NIFTY_METAL,3.3004714959279933,2.263083451202263,0.68,0.57,-1.16,2.62,1.69,3.42
ABBOTINDIA,Health Technology,NIFTY_PHARMA,5.896946564885496,5.194312796208531,0.68,0.57,7.74,5.22,4.62,-2.55
MOTILALOFS,Technology Services,NIFTY_IT,6.647271928861573,2.3710416776437118,0.68,0.57,0.94,5.97,1.8,1.43
BERGEPAINT,Process Industries,NIFTY_METAL,-0.9638554216867492,-5.335892514395395,0.68,0.57,-1.16,-1.64,-5.91,-4.18
TIINDIA,Non-Energy Minerals,NIFTY_METAL,0.9453602266134356,-8.962757771622032,0.68,0.57,-1.16,0.27,-9.53,-7.8
MFSL,Finance,NIFTY_FIN_SERVICE,3.519230769230775,-0.5603448275862013,0.68,0.57,6.04,2.84,-1.13,-6.6
MRF,Consumer Durables,NIFTY_AUTO,-0.3610651421693997,2.2857142857142856,0.68,0.57,3.58,-1.04,1.72,-1.29
KALYANKJIL,Retail Trade,NIFTY_FMCG,43.026315789473685,41.16883116883117,0.68,0.57,-0.49,42.35,40.6,41.66
FACT,Process Industries,NIFTY_METAL,-0.4941467145126237,-6.727322856355115,0.68,0.57,-1.16,-1.17,-7.3,-5.57
COLPAL,Consumer Non-Durables,NIFTY_FMCG,-0.7001972386587794,-2.59733978234583,0.68,0.57,-0.49,-1.38,-3.17,-2.11
APARINDS,Electronic Technology,NIFTY_IT,5.48626577579807,-12.073019801980198,0.68,0.57,0.94,4.81,-12.64,-13.01
